Output,Inflation,Interest Rate,Real Money
-0.192574,1.182706,3.463333,1.434588
0.134498,1.034272,3.49,2.013509
0.63125,1.573488,3.456667,2.599812
0.032418,1.980648,3.576667,3.865664
1.612645,2.024504,3.973333,2.951226
2.122225,1.729713,4.076667,2.958505
3.370384,1.474149,4.073333,2.630833
4.998304,2.54474,4.166667,1.925898
6.717635,2.598666,4.556667,0.58711
6.355502,3.363634,4.913333,0.437507
6.298742,4.195209,5.41,-0.361975
6.373013,3.658458,5.563333,-1.016465
6.496134,1.816757,4.823333,-0.310663
5.699845,2.179382,3.99,1.807006
5.570214,3.923244,3.893333,2.623135
5.442011,4.413517,4.173333,2.645736
6.663263,4.349028,4.786667,1.306667
7.580054,4.173047,5.98,0.481962
7.422436,3.938068,5.943333,0.883279
6.940113,5.622487,5.916667,1.354039
7.628967,4.142188,6.566667,0.292512
7.078826,5.148954,8.326667,-0.465269
6.84217,5.722033,8.983333,-1.806135
5.455211,5.176747,8.94,-1.67304
4.341707,5.672798,8.573333,-2.581639
3.568107,5.462239,7.88,-2.698829
3.456125,3.181133,6.703333,-2.121235
1.366837,5.132054,5.566667,0.332549
3.116131,5.968673,3.856667,0.195124
2.681246,5.21476,4.563333,1.892471
2.490319,4.021662,5.473333,2.71706
1.780882,3.191197,4.75,4.303353
1.986463,6.213008,3.54,4.547785
3.367843,2.38367,4.3,3.895199
3.357619,3.866562,4.74,5.587743
4.075679,5.280691,5.143333,5.752829
5.640347,4.773698,6.536667,3.962858
5.84553,6.142155,7.816667,3.499608
4.368285,7.721811,10.56,2.829746
4.384034,7.844356,9.996667,1.87957
2.573823,7.573647,9.323333,2.707251
1.926339,9.310735,11.25,1.08932
0.024418,11.58632,12.09,0.3562
-1.297007,11.79061,9.346667,-0.512904
-3.413756,9.084848,6.303333,0.985726
-3.5853,6.043188,5.42,2.881242
-2.903873,7.365177,6.16,2.353851
-2.520713,6.975597,5.413333,1.893278
-1.201119,4.397723,4.826667,1.775511
-1.334886,4.259547,5.196667,2.759632
-1.767473,5.434798,5.283333,4.038987
-1.925354,7.233932,4.873333,5.212971
-1.590083,6.502953,4.66,5.582936
-0.542372,5.748522,5.156667,4.760624
0.31563,4.838428,5.82,4.157346
-0.567429,8.620924,6.513333,4.018418
-1.102836,5.912486,6.756667,4.03277
1.901514,7.267584,7.283333,0.433715
1.997099,6.573956,8.1,-0.122709
2.410243,8.376685,9.583333,-1.795203
1.728667,6.986893,10.07333,-2.06222
0.974792,9.755575,10.18,-2.057493
0.807882,8.526837,10.94667,-2.678534
0.156346,7.918703,13.57667,-3.446427
-0.378746,8.347833,15.04667,-3.956514
-3.235928,8.747411,12.68667,-2.210313
-4.245389,8.978312,9.836667,-1.3555
-3.181827,10.92709,15.85333,-4.121645
-1.949815,10.18472,16.57,-6.374529
-3.490792,7.448004,17.78,-5.392642
-3.054485,7.057076,17.57667,-5.923731
-5.075792,7.231235,13.58667,-3.656102
-7.452816,5.403896,14.22667,-1.744565
-7.650211,4.824978,14.51333,-1.160969
-8.747454,5.610369,11.00667,0.336963
-9.390069,4.288285,9.286667,1.649233
-8.857311,3.274847,8.653333,4.738051
-7.315509,2.878356,8.803333,3.91439
-6.071739,4.074592,9.46,2.782311
-4.760874,3.010757,9.43,2.001696
-3.667099,4.96811,9.686667,0.824294
-2.643148,3.438357,10.55667,0.327466
-2.370551,3.185431,11.39,0.332226
-2.283953,2.534885,9.266667,1.603627
-2.011466,4.478744,8.476667,1.856305
-1.828084,2.278223,7.923333,2.623619
-0.966607,1.652942,7.9,2.73388
-0.925329,2.574816,8.103333,2.731921
-0.894758,2.060441,7.826667,2.839607
-1.201767,2.049882,6.92,4.91257
-0.961867,2.308331,6.206667,5.947418
-1.17972,2.606782,6.266667,7.014847
-1.301781,3.291333,6.22,6.497157
-0.924426,2.173784,6.65,5.827379
-0.716644,2.969113,6.843333,5.202919
0.340229,2.893155,6.916667,3.667118
0.12746,3.387546,6.663333,4.679456
0.733865,3.805562,7.156667,4.297434
0.592993,4.4427,7.983333,3.448183
1.253252,2.988506,8.47,2.370404
1.554957,4.500605,9.443333,0.731756
1.562368,3.817763,9.726667,0.204576
1.617417,2.824385,9.083333,1.095263
1.220037,2.759259,8.613333,1.985579
1.140114,4.756001,8.25,0.951409
0.756855,4.63125,8.243333,0.469925
0.104943,3.526366,8.16,1.006196
-1.352743,2.987681,7.743333,1.450445
-2.504507,4.71522,6.426667,2.475782
-2.487963,2.569873,5.863333,2.231935
-2.677702,2.827269,5.643333,1.24778
-2.91473,2.08981,4.816667,1.129715
-2.53313,2.410393,4.023333,0.587573
-2.226218,2.18253,3.77,-1.026661
-1.94702,1.805872,3.256667,-1.776143
-1.585362,2.069022,3.036667,-2.934997
-2.145253,3.104127,3.04,-3.979466
-2.299183,2.196746,3,-4.002194
-2.47849,1.719849,3.06,-4.490435
-1.852975,2.108018,2.99,-5.583963
-1.506556,2.418604,3.213333,-6.831714
-0.861276,1.67547,3.94,-8.311752
-0.999054,2.553144,4.486667,-9.278871
-0.540163,1.860243,5.166667,-10.59707
-0.833139,2.533957,5.81,-11.16363
-1.291701,1.435202,6.02,-9.846441
-1.165832,1.868066,5.796667,-9.345189
-1.138759,1.919775,5.72,-9.386323
-1.076426,2.558309,5.363333,-8.969798
-0.130321,1.416143,5.243333,-9.648842
-0.007999,1.245137,5.306667,-9.64847
0.424011,2.11889,5.28,-9.78659
0.301267,2.549823,5.276667,-9.877734
1.165108,0.639126,5.523333,-10.04769
1.712707,1.375696,5.533333,-9.627964
1.74003,1.304213,5.506667,-8.924776
2.186987,1.012843,5.52,-8.009156
2.168839,0.665495,5.5,-6.821685
2.604011,1.456063,5.533333,-6.070149
3.384767,1.380637,4.86,-5.254915
3.425297,1.622553,4.733333,-4.90908
3.552812,1.419474,4.746667,-4.272834
3.990825,1.385888,5.093333,-4.3013
5.028122,1.706333,5.306667,-4.704896
3.461089,3.58032,5.676667,-4.041968
4.281637,1.72007,6.273333,-4.448028
3.420529,2.055963,6.52,-2.998121
3.210127,1.620507,6.473333,-2.183684
2.405994,3.213568,5.593333,0.415904
1.988603,3.039331,4.326667,1.60733
0.889112,1.651322,3.496667,4.833181
0.535278,2.005192,2.133333,5.585345
0.528202,1.458705,1.733333,5.834777
0.393976,1.426466,1.75,5.958653
0.248033,1.498086,1.74,6.712883
-0.43898,2.213784,1.443333,8.243815
-1.282193,3.103073,1.25,8.742558
-1.159397,1.276762,1.246667,9.63532
-0.116331,2.065147,1.016667,8.327487
-0.23431,2.166506,0.996667,7.215536
0.031284,3.65893,1.003333,7.113052
0.181659,3.691717,1.01,7.128098
0.32128,2.246879,1.433333,6.655716
0.19317,3.186025,1.95,6.920087
0.245568,3.795044,2.47,6.146606
